first_name,last_name, wiki,
Mark,Kirk, https://en.wikipedia.org/wiki/Mark_Kirk,
Mark,Warner, https://en.wikipedia.org/wiki/Mark_Warner,
Markwayne,Mullin, https://en.wikipedia.org/wiki/Markwayne_Mullin,
Marsha,Blackburn, https://en.wikipedia.org/wiki/Marsha_Blackburn,
Martha,McSally, https://en.wikipedia.org/wiki/Martha_McSally,
Martin,Heinrich, https://en.wikipedia.org/wiki/Martin_Heinrich,
Mazie,Hirono, https://en.wikipedia.org/wiki/Mazie_Hirono,
Michael,Bennet, https://en.wikipedia.org/wiki/Michael_Bennet,
Mike,Braun, https://en.wikipedia.org/wiki/Mike_Braun,
Mike,Crapo, https://en.wikipedia.org/wiki/Mike_Crapo,
Mike,Enzi, https://en.wikipedia.org/wiki/Mike_Enzi,
Mike,Lee, https://en.wikipedia.org/wiki/Mike_Lee,
Mike,Rounds, https://en.wikipedia.org/wiki/Mike_Rounds,
Mitch,McConnell, https://en.wikipedia.org/wiki/Mitch_McConnell,
Mitt,Romney, https://en.wikipedia.org/wiki/Mitt_Romney,
Orrin,Hatch, https://en.wikipedia.org/wiki/Orrin_Hatch,
Pat,Roberts, https://en.wikipedia.org/wiki/Pat_Roberts,
Pat,Toomey, https://en.wikipedia.org/wiki/Pat_Toomey,
Patrick,Leahy, https://en.wikipedia.org/wiki/Patrick_Leahy,
Patty,Murray, https://en.wikipedia.org/wiki/Patty_Murray,
Pete,Ricketts, https://en.wikipedia.org/wiki/Pete_Ricketts,
Peter,Welch, https://en.wikipedia.org/wiki/Peter_Welch,
Rand,Paul, https://en.wikipedia.org/wiki/Rand_Paul,
Raphael,Warnock, https://en.wikipedia.org/wiki/Raphael_Warnock,
Richard,Blumenthal, https://en.wikipedia.org/wiki/Richard_Blumenthal,
Richard,Burr, https://en.wikipedia.org/wiki/Richard_Burr,
Richard,Shelby, https://en.wikipedia.org/wiki/Richard_Shelby,
Rick,Scott, https://en.wikipedia.org/wiki/Rick_Scott,
Rob,Portman, https://en.wikipedia.org/wiki/Rob_Portman,
Roger,Marshall, https://en.wikipedia.org/wiki/Roger_Marshall,
Roger,Wicker, https://en.wikipedia.org/wiki/Roger_Wicker,
Ron,Johnson, https://en.wikipedia.org/wiki/Ron_Johnson,
Ron,Wyden, https://en.wikipedia.org/wiki/Ron_Wyden,
Roy,Blunt, https://en.wikipedia.org/wiki/Roy_Blunt,
Sheldon,Whitehouse, https://en.wikipedia.org/wiki/Sheldon_Whitehouse,
Shelley,Capito, https://en.wikipedia.org/wiki/Shelley_Capito,
Sherrod,Brown, https://en.wikipedia.org/wiki/Sherrod_Brown,
Steve,Daines, https://en.wikipedia.org/wiki/Steve_Daines,
Susan,Collins, https://en.wikipedia.org/wiki/Susan_Collins,
Tammy,Baldwin, https://en.wikipedia.org/wiki/Tammy_Baldwin,
Tammy,Duckworth, https://en.wikipedia.org/wiki/Tammy_Duckworth,
Ted,Budd, https://en.wikipedia.org/wiki/Ted_Budd,
Ted,Cruz, https://en.wikipedia.org/wiki/Ted_Cruz,
Thad,Cochran,https://en.wikipedia.org/wiki/Thad_Cochran,
Thom,Tillis, https://en.wikipedia.org/wiki/Thom_Tillis,
Tim,Kaine, https://en.wikipedia.org/wiki/Tim_Kaine,
Tim,Scott, https://en.wikipedia.org/wiki/Tim_Scott,
Tina,Smith, https://en.wikipedia.org/wiki/Tina_Smith,
Todd,Young,https://en.wikipedia.org/wiki/Todd_Young,
Tom,Carper,https://en.wikipedia.org/wiki/Tom_Carper,
Tom,Cotton,https://en.wikipedia.org/wiki/Tom_Cotton,
Tom,Udall,https://en.wikipedia.org/wiki/Tom_Udall,
Tommy,Tuberville,https://en.wikipedia.org/wiki/Tommy_Tuberville,
